Brand,Model Name,Model Image
alcatel,alcatel V3 Ultra,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_V3_Ultra.jpg
alcatel,alcatel V3 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_V3_Pro.jpg
alcatel,alcatel V3 Classic,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_V3_Classic.jpg
alcatel,alcatel 3 (2025),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_3_(2025).jpg
alcatel,alcatel 1B (2022),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_1B_(2022).jpg
alcatel,alcatel 1L Pro (2021),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_1L_Pro_(2021).jpg
alcatel,alcatel 1 (2021),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_1_(2021).jpg
alcatel,alcatel 3L (2021),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_3L_(2021).jpg
alcatel,alcatel 1S (2021),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_1S_(2021).jpg
alcatel,alcatel 1L (2021),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_1L_(2021).jpg
alcatel,alcatel 1V (2021),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_1V_(2021).jpg
alcatel,alcatel 1SE (2020),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_1SE_(2020).jpg
alcatel,alcatel Go Flip 4,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_Go_Flip_4.jpg
alcatel,alcatel Go Flip 3,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_Go_Flip_3.jpg
alcatel,alcatel Go Flip V,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_Go_Flip_V.jpg
alcatel,alcatel 3T10 2020,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_3T10_2020.jpg
alcatel,alcatel 3X (2020),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_3X_(2020).jpg
alcatel,alcatel 3L (2020),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_3L_(2020).jpg
alcatel,alcatel 1S (2020),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_1S_(2020).jpg
alcatel,alcatel 1V (2020),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_1V_(2020).jpg
alcatel,alcatel 1B (2020),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_1B_(2020).jpg
alcatel,alcatel 3v (2019),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_3v_(2019).jpg
alcatel,alcatel 3x (2019),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_3x_(2019).jpg
alcatel,alcatel 1v (2019),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_1v_(2019).jpg
alcatel,alcatel 3T 8,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_3T_8.jpg
alcatel,alcatel Smart Tab 7,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_Smart_Tab_7.jpg
alcatel,alcatel 3T 10,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_3T_10.jpg
alcatel,alcatel 3L,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_3L.jpg
alcatel,alcatel 3 (2019),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_3_(2019).jpg
alcatel,alcatel 1s,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_1s.jpg
alcatel,alcatel 1x (2019),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_1x_(2019).jpg
alcatel,alcatel 1c (2019),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_1c_(2019).jpg
alcatel,alcatel 1,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_1.jpg
alcatel,alcatel Tetra,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_Tetra.jpg
alcatel,alcatel 7,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_7.jpg
alcatel,alcatel 5v,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_5v.jpg
alcatel,alcatel 5,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_5.jpg
alcatel,alcatel 3v,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_3v.jpg
alcatel,alcatel 3x (2018),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_3x_(2018).jpg
alcatel,alcatel 3,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_3.jpg
alcatel,alcatel 1x,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_1x.jpg
alcatel,alcatel 3c,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_3c.jpg
alcatel,alcatel 3088,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_3088.jpg
alcatel,alcatel 1T 10,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_1T_10.jpg
alcatel,alcatel 1T 7,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_1T_7.jpg
alcatel,alcatel Idol 5s,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_Idol_5s.jpg
alcatel,alcatel Idol 5,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_Idol_5.jpg
alcatel,alcatel A7 XL,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_A7_XL.jpg
alcatel,alcatel A7,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_A7.jpg
alcatel,alcatel U5 HD,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/alcatel_alcatel_U5_HD.jpg
