Brand,Model Name,Model Image
allview,Allview Soul X7 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_Soul_X7_Pro.jpg
allview,Allview Soul X7 Style,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_Soul_X7_Style.jpg
allview,Allview Viva 803G,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_Viva_803G.jpg
allview,Allview V4 Viper Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_V4_Viper_Pro.jpg
allview,Allview Viva C703,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_Viva_C703.jpg
allview,Allview Viva Home,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_Viva_Home.jpg
allview,Allview Viva 1003G,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_Viva_1003G.jpg
allview,Allview Viva 1003G Lite,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_Viva_1003G_Lite.jpg
allview,Allview V4 Viper,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_V4_Viper.jpg
allview,Allview Soul X6 Mini,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_Soul_X6_Mini.jpg
allview,Allview Soul X6 Xtreme,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_Soul_X6_Xtreme.jpg
allview,Allview P10 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_P10_Pro.jpg
allview,Allview P10 Max,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_P10_Max.jpg
allview,Allview P10 Mini,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_P10_Mini.jpg
allview,Allview P10 Life,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_P10_Life.jpg
allview,Allview A10 Lite 2019,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_A10_Lite_2019.jpg
allview,Allview Allwatch Hybrid T,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_Allwatch_Hybrid_T.jpg
allview,Allview Allwatch Hybrid S,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_Allwatch_Hybrid_S.jpg
allview,Allview A10 Plus,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_A10_Plus.jpg
allview,Allview Soul X5 Style,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_Soul_X5_Style.jpg
allview,Allview Allwatch V,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_Allwatch_V.jpg
allview,Allview Soul X5 Mini,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_Soul_X5_Mini.jpg
allview,Allview P10 Style,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_P10_Style.jpg
allview,Allview X5 Soul,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X5_Soul.jpg
allview,Allview Soul X5 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_Soul_X5_Pro.jpg
allview,Allview P8 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_P8_Pro.jpg
allview,Allview X4 Soul Infinity Plus,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X4_Soul_Infinity_Plus.jpg
allview,Allview X4 Soul Infinity L,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X4_Soul_Infinity_L.jpg
allview,Allview X4 Soul Infinity N,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X4_Soul_Infinity_N.jpg
allview,Allview X4 Soul Infinity S,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X4_Soul_Infinity_S.jpg
allview,Allview X4 Soul Infinity Z,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X4_Soul_Infinity_Z.jpg
allview,Allview X4 Soul Vision,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X4_Soul_Vision.jpg
allview,Allview V3 Viper,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_V3_Viper.jpg
allview,Allview X4 Soul Mini S,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X4_Soul_Mini_S.jpg
allview,Allview X4 Xtreme,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X4_Xtreme.jpg
allview,Allview P9 Energy Lite (2017),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_P9_Energy_Lite_(2017).jpg
allview,Allview X4 Soul Lite,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X4_Soul_Lite.jpg
allview,Allview X4 Soul Mini,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X4_Soul_Mini.jpg
allview,Allview X4 Soul Style,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X4_Soul_Style.jpg
allview,Allview P6 Energy Mini,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_P6_Energy_Mini.jpg
allview,Allview X4 Soul,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X4_Soul.jpg
allview,Allview Allwatch,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_Allwatch.jpg
allview,Allview V2 Viper Xe,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_V2_Viper_Xe.jpg
allview,Allview V2 Viper S,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_V2_Viper_S.jpg
allview,Allview P9 Energy mini,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_P9_Energy_mini.jpg
allview,Allview P9 Energy Lite,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_P9_Energy_Lite.jpg
allview,Allview P9 Energy,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_P9_Energy.jpg
allview,Allview P7 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_P7_Pro.jpg
allview,Allview X3 Soul Style,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X3_Soul_Style.jpg
allview,Allview X3 Soul Plus,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X3_Soul_Plus.jpg
allview,Allview X3 Soul Lite,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X3_Soul_Lite.jpg
allview,Allview P6 Energy Lite,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_P6_Energy_Lite.jpg
allview,Allview AX501Q,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_AX501Q.jpg
allview,Allview Viva H1001 LTE,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_Viva_H1001_LTE.jpg
allview,Allview V2 Viper i4G,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_V2_Viper_i4G.jpg
allview,Allview V2 Viper e,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_V2_Viper_e.jpg
allview,Allview P6 Lite,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_P6_Lite.jpg
allview,Allview X3 Soul Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X3_Soul_Pro.jpg
allview,Allview X3 Soul mini,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X3_Soul_mini.jpg
allview,Allview P8 Energy Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_P8_Energy_Pro.jpg
allview,Allview P6 eMagic,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_P6_eMagic.jpg
allview,Allview P5 eMagic,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_P5_eMagic.jpg
allview,Allview P4 eMagic,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_P4_eMagic.jpg
allview,Allview X3 Soul,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X3_Soul.jpg
allview,Allview X2 Soul Style + Platinum,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X2_Soul_Style_+_Platinum.jpg
allview,Allview X2 Soul Style,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X2_Soul_Style.jpg
allview,Allview X2 Soul Lite,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_X2_Soul_Lite.jpg
allview,Allview V2 Viper X+,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_V2_Viper_X+.jpg
allview,Allview V2 Viper X,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_V2_Viper_X.jpg
allview,Allview V2 Viper,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/allview_Allview_V2_Viper.jpg
