Brand,Model Name,Model Image
amazon,Amazon Fire Max 11,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Fire_Max_11.jpg
amazon,Amazon Fire HD 8 Plus (2022),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Fire_HD_8_Plus_(2022).jpg
amazon,Amazon Fire HD 8 (2022),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Fire_HD_8_(2022).jpg
amazon,Amazon Fire HD 10 Plus (2021),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Fire_HD_10_Plus_(2021).jpg
amazon,Amazon Fire HD 10 (2021),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Fire_HD_10_(2021).jpg
amazon,Amazon Fire HD 8 Plus (2020),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Fire_HD_8_Plus_(2020).jpg
amazon,Amazon Fire HD 8 (2020),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Fire_HD_8_(2020).jpg
amazon,Amazon Fire HD 10 (2019),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Fire_HD_10_(2019).jpg
amazon,Amazon Fire HD 10 (2017),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Fire_HD_10_(2017).jpg
amazon,Amazon Fire HD 8 (2017),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Fire_HD_8_(2017).jpg
amazon,Amazon Fire 7 (2017),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Fire_7_(2017).jpg
amazon,Amazon Fire HD 10,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Fire_HD_10.jpg
amazon,Amazon Fire HD 8,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Fire_HD_8.jpg
amazon,Amazon Fire 7,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Fire_7.jpg
amazon,Amazon Fire HDX 8.9 (2014),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Fire_HDX_8.9_(2014).jpg
amazon,Amazon Fire HD 7,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Fire_HD_7.jpg
amazon,Amazon Fire HD 6,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Fire_HD_6.jpg
amazon,Amazon Fire Phone,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Fire_Phone.jpg
amazon,Amazon Kindle Fire HDX 8.9,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Kindle_Fire_HDX_8.9.jpg
amazon,Amazon Kindle Fire HDX,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Kindle_Fire_HDX.jpg
amazon,Amazon Kindle Fire HD (2013),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Kindle_Fire_HD_(2013).jpg
amazon,Amazon Kindle Fire HD 8.9 LTE,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Kindle_Fire_HD_8.9_LTE.jpg
amazon,Amazon Kindle Fire HD 8.9,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Kindle_Fire_HD_8.9.jpg
amazon,Amazon Kindle Fire HD,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Kindle_Fire_HD.jpg
amazon,Amazon Kindle Fire,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amazon_Amazon_Kindle_Fire.jpg
