Brand,Model Name,Model Image
amoi,Amoi E860,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_E860.jpg
amoi,Amoi E78,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_E78.jpg
amoi,Amoi E76,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_E76.jpg
amoi,Amoi E72,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_E72.jpg
amoi,Amoi WMA8701A,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_WMA8701A.jpg
amoi,Amoi WMA8703,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_WMA8703.jpg
amoi,Amoi WMA8508,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_WMA8508.jpg
amoi,Amoi CMA8170,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_CMA8170.jpg
amoi,Amoi M33,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_M33.jpg
amoi,Amoi A203,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_A203.jpg
amoi,Amoi A200,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_A200.jpg
amoi,Amoi A102,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_A102.jpg
amoi,Amoi A100,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_A100.jpg
amoi,Amoi A10,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_A10.jpg
amoi,Amoi E850,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_E850.jpg
amoi,Amoi V810,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_V810.jpg
amoi,Amoi H815,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_H815.jpg
amoi,Amoi H812,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_H812.jpg
amoi,Amoi H810,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_H810.jpg
amoi,Amoi H802,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_H802.jpg
amoi,Amoi H801,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_H801.jpg
amoi,Amoi H8,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_H8.jpg
amoi,Amoi H80,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_H80.jpg
amoi,Amoi A675,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_A675.jpg
amoi,Amoi M636,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_M636.jpg
amoi,Amoi A865,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_A865.jpg
amoi,Amoi A869,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_A869.jpg
amoi,Amoi 6201,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_6201.jpg
amoi,Amoi M360,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_M360.jpg
amoi,Amoi M650,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_M650.jpg
amoi,Amoi M630,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_M630.jpg
amoi,Amoi F620,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_F620.jpg
amoi,Amoi A320,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_A320.jpg
amoi,Amoi F320,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_F320.jpg
amoi,Amoi A310,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_A310.jpg
amoi,Amoi A211,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_A211.jpg
amoi,Amoi A210,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_A210.jpg
amoi,Amoi 2561,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_2561.jpg
amoi,Amoi CS6,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_CS6.jpg
amoi,Amoi 2560,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_2560.jpg
amoi,Amoi A90,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_A90.jpg
amoi,Amoi F99b,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_F99b.jpg
amoi,Amoi A9B,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_A9B.jpg
amoi,Amoi CA8,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_CA8.jpg
amoi,Amoi CA6,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_CA6.jpg
amoi,Amoi A90B,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_A90B.jpg
amoi,Amoi S6,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/amoi_Amoi_S6.jpg
