Brand,Model Name,Model Image
apple,Apple iPad Air 13 (2025),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPad_Air_13_(2025).jpg
apple,Apple iPad Air 11 (2025),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPad_Air_11_(2025).jpg
apple,Apple iPad (2025),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPad_(2025).jpg
apple,Apple iPhone 16e,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_16e.jpg
apple,Apple iPad mini (2024),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPad_mini_(2024).jpg
apple,Apple iPhone 16 Pro Max,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_16_Pro_Max.jpg
apple,Apple iPhone 16 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_16_Pro.jpg
apple,Apple iPhone 16 Plus,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_16_Plus.jpg
apple,Apple iPhone 16,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_16.jpg
apple,Apple Watch Series 10,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_Watch_Series_10.jpg
apple,Apple Watch Series 10 Aluminum,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_Watch_Series_10_Aluminum.jpg
apple,Apple iPad Pro 13 (2024),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPad_Pro_13_(2024).jpg
apple,Apple iPad Pro 11 (2024),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPad_Pro_11_(2024).jpg
apple,Apple iPad Air 13 (2024),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPad_Air_13_(2024).jpg
apple,Apple iPad Air 11 (2024),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPad_Air_11_(2024).jpg
apple,Apple iPhone 15 Pro Max,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_15_Pro_Max.jpg
apple,Apple iPhone 15 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_15_Pro.jpg
apple,Apple iPhone 15 Plus,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_15_Plus.jpg
apple,Apple iPhone 15,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_15.jpg
apple,Apple Watch Ultra 2,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_Watch_Ultra_2.jpg
apple,Apple Watch Series 9,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_Watch_Series_9.jpg
apple,Apple Watch Series 9 Aluminum,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_Watch_Series_9_Aluminum.jpg
apple,Apple iPad Pro 12.9 (2022),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPad_Pro_12.9_(2022).jpg
apple,Apple iPad Pro 11 (2022),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPad_Pro_11_(2022).jpg
apple,Apple iPad (2022),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPad_(2022).jpg
apple,Apple iPhone 14 Pro Max,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_14_Pro_Max.jpg
apple,Apple iPhone 14 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_14_Pro.jpg
apple,Apple iPhone 14 Plus,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_14_Plus.jpg
apple,Apple iPhone 14,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_14.jpg
apple,Apple Watch Ultra,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_Watch_Ultra.jpg
apple,Apple Watch Series 8,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_Watch_Series_8.jpg
apple,Apple Watch Series 8 Aluminum,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_Watch_Series_8_Aluminum.jpg
apple,Apple Watch SE (2022),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_Watch_SE_(2022).jpg
apple,Apple iPhone SE (2022),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_SE_(2022).jpg
apple,Apple iPad Air (2022),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPad_Air_(2022).jpg
apple,Apple iPhone 13 Pro Max,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_13_Pro_Max.jpg
apple,Apple iPhone 13 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_13_Pro.jpg
apple,Apple iPhone 13,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_13.jpg
apple,Apple iPhone 13 mini,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_13_mini.jpg
apple,Apple iPad mini (2021),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPad_mini_(2021).jpg
apple,Apple iPad 10.2 (2021),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPad_10.2_(2021).jpg
apple,Apple Watch Edition Series 7,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_Watch_Edition_Series_7.jpg
apple,Apple Watch Series 7,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_Watch_Series_7.jpg
apple,Apple Watch Series 7 Aluminum,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_Watch_Series_7_Aluminum.jpg
apple,Apple iPad Pro 12.9 (2021),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPad_Pro_12.9_(2021).jpg
apple,Apple iPad Pro 11 (2021),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPad_Pro_11_(2021).jpg
apple,Apple iPhone 12 Pro Max,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_12_Pro_Max.jpg
apple,Apple iPhone 12 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_12_Pro.jpg
apple,Apple iPhone 12,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_12.jpg
apple,Apple iPhone 12 mini,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_12_mini.jpg
apple,Apple iPad Air (2020),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPad_Air_(2020).jpg
apple,Apple iPad 10.2 (2020),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPad_10.2_(2020).jpg
apple,Apple Watch SE,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_Watch_SE.jpg
apple,Apple Watch Series 6 Aluminum,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_Watch_Series_6_Aluminum.jpg
apple,Apple Watch Series 6,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_Watch_Series_6.jpg
apple,Apple Watch Edition Series 6,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_Watch_Edition_Series_6.jpg
apple,Apple iPhone SE (2020),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_SE_(2020).jpg
apple,Apple iPad Pro 12.9 (2020),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPad_Pro_12.9_(2020).jpg
apple,Apple iPad Pro 11 (2020),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPad_Pro_11_(2020).jpg
apple,Apple iPhone 11 Pro Max,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_11_Pro_Max.jpg
apple,Apple iPhone 11 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_11_Pro.jpg
apple,Apple iPhone 11,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/apple_Apple_iPhone_11.jpg
