Brand,Model Name,Model Image
archos,Archos Diamond,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/archos_Archos_Diamond.jpg
archos,Archos Oxygen 68XL,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/archos_Archos_Oxygen_68XL.jpg
archos,Archos Oxygen 63,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/archos_Archos_Oxygen_63.jpg
archos,Archos Oxygen 57,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/archos_Archos_Oxygen_57.jpg
archos,Archos Saphir 50X,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/archos_Archos_Saphir_50X.jpg
archos,Archos Diamond Omega,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/archos_Archos_Diamond_Omega.jpg
archos,Archos Diamond Alpha +,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/archos_Archos_Diamond_Alpha_+.jpg
archos,Archos Diamond Tab,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/archos_Archos_Diamond_Tab.jpg
archos,Archos Diamond Alpha,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/archos_Archos_Diamond_Alpha.jpg
archos,Archos Sense 55s,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/archos_Archos_Sense_55s.jpg
archos,Archos Diamond Gamma,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/archos_Archos_Diamond_Gamma.jpg
archos,Archos Sense 50x,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/archos_Archos_Sense_50x.jpg
archos,Archos 50 Saphir,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/archos_Archos_50_Saphir.jpg
archos,Archos 55 Graphite,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/archos_Archos_55_Graphite.jpg
archos,Archos 50 Graphite,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/archos_Archos_50_Graphite.jpg
archos,Archos 55b Cobalt,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/archos_Archos_55b_Cobalt.jpg
archos,Archos 50b Cobalt,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/archos_Archos_50b_Cobalt.jpg
archos,Archos Diamond 2 Plus,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/archos_Archos_Diamond_2_Plus.jpg
