Brand,Model Name,Model Image
asus,Asus Zenfone 12 Ultra,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_Zenfone_12_Ultra.jpg
asus,Asus ROG Phone 9 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_9_Pro.jpg
asus,Asus ROG Phone 9 FE,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_9_FE.jpg
asus,Asus ROG Phone 9,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_9.jpg
asus,Asus Zenfone 11 Ultra,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_Zenfone_11_Ultra.jpg
asus,Asus ROG Phone 8 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_8_Pro.jpg
asus,Asus ROG Phone 8,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_8.jpg
asus,Asus Zenfone 10,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_Zenfone_10.jpg
asus,Asus ROG Phone 7 Ultimate,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_7_Ultimate.jpg
asus,Asus ROG Phone 7,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_7.jpg
asus,Asus ROG Phone 6D Ultimate,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_6D_Ultimate.jpg
asus,Asus ROG Phone 6D,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_6D.jpg
asus,Asus ROG Phone 6 Diablo Immortal Edition,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_6_Diablo_Immortal_Edition.jpg
asus,Asus ROG Phone 6 Batman Edition,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_6_Batman_Edition.jpg
asus,Asus Zenfone 9,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_Zenfone_9.jpg
asus,Asus ROG Phone 6 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_6_Pro.jpg
asus,Asus ROG Phone 6,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_6.jpg
asus,Asus ROG Phone 5s Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_5s_Pro.jpg
asus,Asus ROG Phone 5s,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_5s.jpg
asus,Asus Smartphone for Snapdragon Insiders,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_Smartphone_for_Snapdragon_Insiders.jpg
asus,Asus Zenfone 8 Flip,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_Zenfone_8_Flip.jpg
asus,Asus Zenfone 8,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_Zenfone_8.jpg
asus,Asus ROG Phone 5 Ultimate,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_5_Ultimate.jpg
asus,Asus ROG Phone 5 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_5_Pro.jpg
asus,Asus ROG Phone 5,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_5.jpg
asus,Asus Zenfone 7 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_Zenfone_7_Pro.jpg
asus,Asus Zenfone 7,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_Zenfone_7.jpg
asus,Asus ROG Phone 3,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_3.jpg
asus,Asus ROG Phone 3 Strix,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_3_Strix.jpg
asus,Asus ROG Phone II ZS660KL,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_II_ZS660KL.jpg
asus,Asus Zenfone 6 ZS630KL,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_Zenfone_6_ZS630KL.jpg
asus,Asus ZenFone Live (L2),/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ZenFone_Live_(L2).jpg
asus,Asus Zenfone Max Plus (M2) ZB634KL,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_Zenfone_Max_Plus_(M2)_ZB634KL.jpg
asus,Asus Zenfone Max Shot ZB634KL,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_Zenfone_Max_Shot_ZB634KL.jpg
asus,Asus Zenfone Max Pro (M2) ZB631KL,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_Zenfone_Max_Pro_(M2)_ZB631KL.jpg
asus,Asus Zenfone Max (M2) ZB633KL,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_Zenfone_Max_(M2)_ZB633KL.jpg
asus,Asus Zenfone Max (M1) ZB556KL,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_Zenfone_Max_(M1)_ZB556KL.jpg
asus,Asus ZenFone Lite (L1) ZA551KL,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ZenFone_Lite_(L1)_ZA551KL.jpg
asus,Asus ROG Phone ZS600KL,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ROG_Phone_ZS600KL.jpg
asus,Asus ZenFone Live (L1) ZA550KL,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_ZenFone_Live_(L1)_ZA550KL.jpg
asus,Asus Zenfone Max Pro (M1) ZB601KL/ZB602K,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_Zenfone_Max_Pro_(M1)_ZB601KL_ZB602K.jpg
asus,Asus Zenfone 5z ZS620KL,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_Zenfone_5z_ZS620KL.jpg
asus,Asus Zenfone 5 ZE620KL,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_Zenfone_5_ZE620KL.jpg
asus,Asus Zenfone 5 Lite ZC600KL,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/asus_Asus_Zenfone_5_Lite_ZC600KL.jpg
