Brand,Model Name,Model Image
benq,BenQ F52,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_F52.jpg
benq,BenQ B502,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_B502.jpg
benq,BenQ T3,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_T3.jpg
benq,BenQ F5,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_F5.jpg
benq,BenQ F3,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_F3.jpg
benq,BenQ A3,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_A3.jpg
benq,BenQ E55,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_E55.jpg
benq,BenQ C36,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_C36.jpg
benq,BenQ E53,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_E53.jpg
benq,BenQ T60,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_T60.jpg
benq,BenQ M7,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_M7.jpg
benq,BenQ E72,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_E72.jpg
benq,BenQ C30,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_C30.jpg
benq,BenQ T51,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_T51.jpg
benq,BenQ T33,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_T33.jpg
benq,BenQ EL71,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_EL71.jpg
benq,BenQ M580,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_M580.jpg
benq,BenQ U700,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_U700.jpg
benq,BenQ Z2,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_Z2.jpg
benq,BenQ M315,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_M315.jpg
benq,BenQ M220,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_M220.jpg
benq,BenQ S80,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_S80.jpg
benq,BenQ A520,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_A520.jpg
benq,BenQ M350,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_M350.jpg
benq,BenQ A500,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_A500.jpg
benq,BenQ S680C,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_S680C.jpg
benq,BenQ P50,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_P50.jpg
benq,BenQ P31,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_P31.jpg
benq,BenQ P30,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_P30.jpg
benq,BenQ S700,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_S700.jpg
benq,BenQ M300,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_M300.jpg
benq,BenQ M100,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_M100.jpg
benq,BenQ S670C,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_S670C.jpg
benq,BenQ S660C,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_S660C.jpg
benq,BenQ M775C,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/benq_BenQ_M775C.jpg
