Brand,Model Name,Model Image
bird,Bird M32,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_M32.jpg
bird,Bird D636,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_D636.jpg
bird,Bird D706,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_D706.jpg
bird,Bird D615,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_D615.jpg
bird,Bird S768,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_S768.jpg
bird,Bird S758,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_S758.jpg
bird,Bird S618,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_S618.jpg
bird,Bird D736,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_D736.jpg
bird,Bird D716,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_D716.jpg
bird,Bird D720,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_D720.jpg
bird,Bird D611,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_D611.jpg
bird,Bird D515,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_D515.jpg
bird,Bird D612,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_D612.jpg
bird,Bird M29,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_M29.jpg
bird,Bird M01,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_M01.jpg
bird,Bird M07,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_M07.jpg
bird,Bird S1130,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_S1130.jpg
bird,Bird V5518+,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_V5518+.jpg
bird,Bird S663,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_S663.jpg
bird,Bird S661,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_S661.jpg
bird,Bird S669,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_S669.jpg
bird,Bird S668,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_S668.jpg
bird,Bird S667,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_S667.jpg
bird,Bird S296+,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_S296+.jpg
bird,Bird S296,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_S296.jpg
bird,Bird D680,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_D680.jpg
bird,Bird D660,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_D660.jpg
bird,Bird M11,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_M11.jpg
bird,Bird M08,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_M08.jpg
bird,Bird S890,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_S890.jpg
bird,Bird S798,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_S798.jpg
bird,Bird S698,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_S698.jpg
bird,Bird S198,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_S198.jpg
bird,Bird S299,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_S299.jpg
bird,Bird MP300,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/bird_Bird_MP300.jpg
