Brand,Model Name,Model Image
blackberry,BlackBerry KEY2 LE,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_KEY2_LE.jpg
blackberry,BlackBerry Evolve X,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Evolve_X.jpg
blackberry,BlackBerry Evolve,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Evolve.jpg
blackberry,BlackBerry KEY2,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_KEY2.jpg
blackberry,BlackBerry Motion,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Motion.jpg
blackberry,BlackBerry Aurora,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Aurora.jpg
blackberry,BlackBerry Keyone,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Keyone.jpg
blackberry,BlackBerry DTEK60,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_DTEK60.jpg
blackberry,BlackBerry DTEK50,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_DTEK50.jpg
blackberry,BlackBerry Priv,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Priv.jpg
blackberry,BlackBerry Leap,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Leap.jpg
blackberry,BlackBerry Classic Non Camera,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Classic_Non_Camera.jpg
blackberry,BlackBerry Porsche Design P'9983,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Porsche_Design_P'9983.jpg
blackberry,BlackBerry Passport,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Passport.jpg
blackberry,BlackBerry Classic,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Classic.jpg
blackberry,BlackBerry Z3,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Z3.jpg
blackberry,BlackBerry Porsche Design P'9982,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Porsche_Design_P'9982.jpg
blackberry,BlackBerry Z30,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Z30.jpg
blackberry,BlackBerry 9720,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_9720.jpg
blackberry,BlackBerry Q5,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Q5.jpg
blackberry,BlackBerry Z10,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Z10.jpg
blackberry,BlackBerry Q10,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Q10.jpg
blackberry,BlackBerry 4G LTE Playbook,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_4G_LTE_Playbook.jpg
blackberry,BlackBerry Curve 9320,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Curve_9320.jpg
blackberry,BlackBerry Curve 9220,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Curve_9220.jpg
blackberry,BlackBerry Curve 9380,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Curve_9380.jpg
blackberry,BlackBerry Bold 9790,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Bold_9790.jpg
blackberry,BlackBerry Porsche Design P'9981,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Porsche_Design_P'9981.jpg
blackberry,BlackBerry Curve 9370,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Curve_9370.jpg
blackberry,BlackBerry Curve 9360,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Curve_9360.jpg
blackberry,BlackBerry Curve 9350,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Curve_9350.jpg
blackberry,BlackBerry Torch 9810,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Torch_9810.jpg
blackberry,BlackBerry Torch 9860,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Torch_9860.jpg
blackberry,BlackBerry Torch 9850,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Torch_9850.jpg
blackberry,BlackBerry Bold Touch 9900,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Bold_Touch_9900.jpg
blackberry,BlackBerry Bold Touch 9930,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Bold_Touch_9930.jpg
blackberry,BlackBerry 4G Playbook HSPA+,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_4G_Playbook_HSPA+.jpg
blackberry,BlackBerry Playbook Wimax,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Playbook_Wimax.jpg
blackberry,BlackBerry Playbook,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Playbook.jpg
blackberry,BlackBerry Bold 9780,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Bold_9780.jpg
blackberry,BlackBerry Style 9670,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Style_9670.jpg
blackberry,BlackBerry Curve 3G 9330,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Curve_3G_9330.jpg
blackberry,BlackBerry Curve 3G 9300,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Curve_3G_9300.jpg
blackberry,BlackBerry Torch 9800,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Torch_9800.jpg
blackberry,BlackBerry Pearl 3G 9105,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Pearl_3G_9105.jpg
blackberry,BlackBerry Pearl 3G 9100,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Pearl_3G_9100.jpg
blackberry,BlackBerry Bold 9650,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Bold_9650.jpg
blackberry,BlackBerry Bold 9700,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Bold_9700.jpg
blackberry,BlackBerry Storm2 9520,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Storm2_9520.jpg
blackberry,BlackBerry Storm2 9550,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Storm2_9550.jpg
blackberry,BlackBerry Curve 8530,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Curve_8530.jpg
blackberry,BlackBerry Curve 8520,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Curve_8520.jpg
blackberry,BlackBerry Tour 9630,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Tour_9630.jpg
blackberry,BlackBerry Curve 8980,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Curve_8980.jpg
blackberry,BlackBerry Curve 8900,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Curve_8900.jpg
blackberry,BlackBerry Storm3,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Storm3.jpg
blackberry,BlackBerry Storm 9500,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Storm_9500.jpg
blackberry,BlackBerry Storm 9530,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Storm_9530.jpg
blackberry,BlackBerry Pearl Flip 8230,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Pearl_Flip_8230.jpg
blackberry,BlackBerry Pearl Flip 8220,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Pearl_Flip_8220.jpg
blackberry,BlackBerry Bold 9000,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Bold_9000.jpg
blackberry,BlackBerry Volt,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Volt.jpg
blackberry,BlackBerry Pearl 8130,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Pearl_8130.jpg
blackberry,BlackBerry Pearl 8110,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackberry_BlackBerry_Pearl_8110.jpg
