Brand,Model Name,Model Image
blackview,Blackview Active 12 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Active_12_Pro.jpg
blackview,Blackview Mega 3,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Mega_3.jpg
blackview,Blackview BL7000,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_BL7000.jpg
blackview,Blackview BV7300,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_BV7300.jpg
blackview,Blackview Mega 2 WiFi,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Mega_2_WiFi.jpg
blackview,Blackview Mega 8,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Mega_8.jpg
blackview,Blackview BV4800 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_BV4800_Pro.jpg
blackview,Blackview Wave 8C,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Wave_8C.jpg
blackview,Blackview Wave 8,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Wave_8.jpg
blackview,Blackview BV8200,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_BV8200.jpg
blackview,Blackview Mega 2,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Mega_2.jpg
blackview,Blackview Tab 60 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Tab_60_Pro.jpg
blackview,Blackview Tab 60 WiFi,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Tab_60_WiFi.jpg
blackview,Blackview Active 10 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Active_10_Pro.jpg
blackview,Blackview Shark 9,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Shark_9.jpg
blackview,Blackview Tab9WiFi,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Tab9WiFi.jpg
blackview,Blackview Tab90WiFi,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Tab90WiFi.jpg
blackview,Blackview Hero 10,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Hero_10.jpg
blackview,Blackview Tab 16 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Tab_16_Pro.jpg
blackview,Blackview BV8100,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_BV8100.jpg
blackview,Blackview BL9000 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_BL9000_Pro.jpg
blackview,Blackview Color 8,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Color_8.jpg
blackview,Blackview Mega 1,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Mega_1.jpg
blackview,Blackview BL9000,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_BL9000.jpg
blackview,Blackview BL8000,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_BL8000.jpg
blackview,Blackview Shark 8,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Shark_8.jpg
blackview,Blackview Tab 18,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Tab_18.jpg
blackview,Blackview A96,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_A96.jpg
blackview,Blackview BV6200 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_BV6200_Pro.jpg
blackview,Blackview Tab 80,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Tab_80.jpg
blackview,Blackview Tab 60,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Tab_60.jpg
blackview,Blackview Tab 70 WiFi,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Tab_70_WiFi.jpg
blackview,Blackview Tab 50 WiFi,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Tab_50_WiFi.jpg
blackview,Blackview A200 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_A200_Pro.jpg
blackview,Blackview N6000,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_N6000.jpg
blackview,Blackview Wave 6C,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Wave_6C.jpg
blackview,Blackview Active 8 Pro,/home/kami/proyectos/vision_artificial_sem/app/in_model/GSMArenaDataset/images/blackview_Blackview_Active_8_Pro.jpg
